Benchmark / Test Suite,Condition / Model Name,Intervention / Modality,Evaluation Scope,Task Name / Metric,Sample Size (N),Denominator Exclusions,Historical Reported Compliance (%),Strict Binary Pass (%),Defined Partial Compliance (%),Delta (pp),Statistical Uncertainty (Clustered SE / 95% CI),p-value,Mean Tokens,Audit Status & Scientific Verdict
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,Clean Procedural (Exploratory Subset),50,"N=2 (third_person, end_of_sentence)",43.34,2.0,44.3,Ref,"Clustered SE: 1.84, 95% CI: [40.6, 48.0]",Ref,620.3,VALIDATED (Exploratory 2-Task Subset)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,Clean Procedural (Exploratory Subset),50,"N=2 (third_person, end_of_sentence)",63.54,50.0,67.95,+23.65,"Clustered SE: 2.69, 95% CI: [+18.25, +29.04]",1.16e-11,434.5,VALIDATED (Exploratory 2-Task Subset)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,Formatting Tasks (Exploratory Subset),50,"N=5 (Formatting tasks, partial)",23.77,0.8,24.15,Ref,"Clustered SE: 1.25, 95% CI: [21.6, 26.7]",Ref,701.0,VALIDATED (Exploratory 5-Task Subset)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,Formatting Tasks (Exploratory Subset),50,"N=5 (Formatting tasks, partial)",41.3,20.0,46.78,+22.62,"Clustered SE: 2.06, 95% CI: [+18.48, +26.77]",8.57e-15,398.8,VALIDATED (Exploratory 5-Task Subset)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,Valid Non-Character Aggregate,50,N=6 (Multiword excluded),19.81,8.33,27.8,Ref,"Clustered SE: 1.48, 95% CI: [24.8, 30.8]",Ref,731.1,VALIDATED (Multiword Excluded)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,Valid Non-Character Aggregate,50,N=6 (Multiword excluded),40.08,28.0,50.32,+22.52,"Clustered SE: 2.35, 95% CI: [+17.79, +27.25]",8.32e-13,394.6,VALIDATED (Multiword Excluded)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,Valid Overall Tasks Aggregate,50,N=9 (Multiword excluded),15.65,5.78,20.42,Ref,"Clustered SE: 1.12, 95% CI: [18.2, 22.7]",Ref,747.9,VALIDATED (Multiword Excluded)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,Valid Overall Tasks Aggregate,50,N=9 (Multiword excluded),43.1,26.67,51.37,+30.95,"Clustered SE: 1.85, 95% CI: [+27.22, +34.67]",7.34e-22,386.8,VALIDATED (Multiword Excluded)
Haskins Prefix Interventions,Qwen3-14B Base,Fixed Prefix (10 tok),Full Reasoning,Clean Procedural (Exploratory Subset),50,N=2,47.5,2.0,48.97,+4.67,"Clustered SE: 2.10, 95% CI: [+0.45, +8.89]",0.0305,697.9,VALIDATED
Haskins Prefix Interventions,Qwen3-14B Base,Fixed Prefix (10 tok),Full Reasoning,Formatting Tasks (Exploratory Subset),50,N=5,31.8,0.8,33.46,+9.31,"Clustered SE: 1.58, 95% CI: [+6.13, +12.49]",2.1e-07,697.9,VALIDATED
Haskins Prefix Interventions,Qwen3-14B Base,Ack Requests Prefix (12 tok),Full Reasoning,Clean Procedural (Exploratory Subset),50,N=2,50.1,1.0,51.99,+7.69,"Clustered SE: 2.25, 95% CI: [+3.17, +12.21]",0.0012,696.6,VALIDATED
Haskins Prefix Interventions,Qwen3-14B Base,Ack Requests Prefix (12 tok),Full Reasoning,Formatting Tasks (Exploratory Subset),50,N=5,32.4,0.4,33.61,+9.46,"Clustered SE: 1.62, 95% CI: [+6.20, +12.72]",1.85e-07,696.6,VALIDATED
Haskins Prefix Interventions,Qwen3-14B Base,Normalized Reasoning (GLM),Full Reasoning,Clean Procedural (Exploratory Subset),50,N=2,51.2,8.0,51.73,+7.43,"Clustered SE: 2.30, 95% CI: [+2.81, +12.05]",0.0021,536.7,VALIDATED
Haskins Prefix Interventions,Qwen3-14B Base,Normalized Reasoning (GLM),Full Reasoning,Formatting Tasks (Exploratory Subset),50,N=5,38.6,4.0,40.21,+16.06,"Clustered SE: 1.85, 95% CI: [+12.34, +19.78]",4.5e-11,536.7,VALIDATED
Haskins 2x2 Transfer Matrix,Base -> Base,Base Donor Prefix (Off),Full Reasoning,Clean Procedural (Exploratory Subset),50,N=2,42.14,2.0,43.15,Ref,"Clustered SE: 1.95, 95% CI: [39.2, 47.1]",Ref,805.8,VALIDATED (Control Cell)
Haskins 2x2 Transfer Matrix,Base -> Base,Base Donor Prefix (Off),Continuation Scope,Clean Procedural (Exploratory Subset),50,N=2,43.96,1.0,43.96,Ref,"Clustered SE: 1.98, 95% CI: [40.0, 47.9]",Ref,805.8,VALIDATED (Control Cell)
Haskins 2x2 Transfer Matrix,Base -> SFT,Base Donor Prefix (Off),Full Reasoning,Clean Procedural (Exploratory Subset),50,N=2,40.2,20.0,40.51,-2.64,"Clustered SE: 2.15, 95% CI: [-6.96, +1.68]",0.225,677.2,VALIDATED (Insignificant vs Base->Base)
Haskins 2x2 Transfer Matrix,Base -> SFT,Base Donor Prefix (Off),Continuation Scope,Clean Procedural (Exploratory Subset),50,N=2,41.43,18.0,41.43,-2.53,"Clustered SE: 2.18, 95% CI: [-6.91, +1.85]",0.251,677.2,VALIDATED (Insignificant vs Base->Base)
Haskins 2x2 Transfer Matrix,SFT -> SFT,SFT Donor Prefix (Off),Full Reasoning,Clean Procedural (Exploratory Subset),50,N=2,41.5,22.0,41.67,-1.48,"Clustered SE: 2.20, 95% CI: [-5.90, +2.94]",0.504,381.0,VALIDATED (Insignificant vs Base->Base)
Haskins 2x2 Transfer Matrix,SFT -> SFT,SFT Donor Prefix (Off),Continuation Scope,Clean Procedural (Exploratory Subset),50,N=2,43.08,20.0,43.08,-0.88,"Clustered SE: 2.24, 95% CI: [-5.38, +3.62]",0.696,381.0,VALIDATED (Insignificant vs Base->Base)
Haskins 2x2 Transfer Matrix,SFT -> Base,SFT Donor Prefix (Off),Full Reasoning,Clean Procedural (Exploratory Subset),50,N=2,48.9,12.0,55.74,+12.59,"Clustered SE: 2.38, 95% CI: [+7.81, +17.37]",1.68e-06,388.1,VALIDATED (Authoritative Transfer)
Haskins 2x2 Transfer Matrix,SFT -> Base,SFT Donor Prefix (Off),Continuation Scope,Clean Procedural (Exploratory Subset),50,N=2,57.38,10.0,57.38,+13.42,"Clustered SE: 2.41, 95% CI: [+8.58, +18.26]",8.42e-07,388.1,VALIDATED (Authoritative Transfer)
Haskins Cross-Model Transfer,GPT-OSS-20B Base,None (Baseline),Full Reasoning,Clean Procedural (Exploratory Subset),50,N=2,61.28,4.0,61.28,Ref,"Clustered SE: 2.10, 95% CI: [57.1, 65.5]",Ref,462.7,VALIDATED (Base Architecture)
Haskins Cross-Model Transfer,GPT-OSS-20B Base,None (Baseline),Full Reasoning,repeat_sentences,50,None,5.0,2.0,49.0,Ref,"SE: 2.20, 95% CI: [44.6, 53.4]",Ref,462.7,VALIDATED (1/50 Strict Binary)
Haskins Cross-Model Transfer,GPT-OSS-20B LoRA,LoRA (Attn Only),Full Reasoning,Clean Procedural (Exploratory Subset),50,N=2,43.43,14.0,43.43,-17.85,"Clustered SE: 2.45, 95% CI: [-22.77, -12.93]",1.25e-08,332.4,VALIDATED (Attn-Only Adaptation)
Haskins Cross-Model Transfer,GPT-OSS-20B LoRA,LoRA (Attn Only),Full Reasoning,repeat_sentences,50,None,20.0,10.0,53.0,+4.00,"Paired SE: 3.12, 95% CI: [-2.27, +10.27]",0.205,332.4,VALIDATED (5/50 Strict Binary)
Haskins Cross-Model Transfer,Qwen SFT Prefix -> GPT-OSS Base,Qwen SFT Prefix,Full Reasoning,Clean Procedural (Exploratory Subset),50,N=2,56.5,8.0,56.5,-4.78,"Clustered SE: 2.30, 95% CI: [-9.40, -0.16]",0.0428,610.5,VALIDATED (Cross-Model Transfer)
Haskins Cross-Model Transfer,Qwen SFT Prefix -> GPT-OSS Base,Qwen SFT Prefix,Full Reasoning,repeat_sentences,50,None,14.0,0.0,2.0,-47.00,"Paired SE: 3.45, 95% CI: [-53.93, -40.07]",2.15e-16,610.5,VALIDATED (Opening Truncated)
ReasonIF Official Benchmark,Qwen3-14B Base,None (Baseline),Full Evaluation,Instruction Following Score (IFS),300,None,14.0,14.0,14.0,Ref,"SE: 2.00, 95% CI: [10.1, 17.9]",Ref,942.0,VALIDATED (Replay Tested)
ReasonIF Official Benchmark,Qwen3-14B Base,None (Baseline),Full Evaluation,Answer Accuracy,300,None,80.33,80.33,80.33,Ref,"SE: 2.29, 95% CI: [75.8, 84.8]",Ref,942.0,VALIDATED (Stored Verification)
ReasonIF Official Benchmark,Qwen3-14B Base,None (Baseline),Full Evaluation,Joint Success Rate,300,None,11.67,11.67,11.67,Ref,"SE: 1.85, 95% CI: [8.0, 15.3]",Ref,942.0,VALIDATED (Stored Verification)
ReasonIF Official Benchmark,Qwen3-14B Base + Static Ack Header,Static Fixed Header (k=8),Full Evaluation,Instruction Following Score (IFS),300,None,21.67,21.67,21.67,+7.67,"SE: 2.38, 95% CI: [17.0, 26.3]",0.0135,1012.3,VALIDATED (True Static Header)
ReasonIF Official Benchmark,Qwen3-14B Base + Static Ack Header,Static Fixed Header (k=8),Full Evaluation,Answer Accuracy,300,None,76.67,76.67,76.67,-3.66,"SE: 2.44, 95% CI: [71.9, 81.5]",0.278,1012.3,VALIDATED
ReasonIF Official Benchmark,Qwen3-14B Base + Static Ack Header,Static Fixed Header (k=8),Full Evaluation,Joint Success Rate,300,None,15.0,15.0,15.0,+3.33,"SE: 2.06, 95% CI: [11.0, 19.0]",0.231,1012.3,VALIDATED
ReasonIF Official Benchmark,Qwen3-14B Base + Dynamic OFF Teacher,Dynamic Teacher (k=10),Full Evaluation,Instruction Following Score (IFS),300,None,31.33,31.33,31.33,+17.33,"SE: 2.68, 95% CI: [26.1, 36.6]",8.5e-07,1084.7,VALIDATED (Dynamic Teacher OFF)
ReasonIF Official Benchmark,Qwen3-14B Base + Dynamic ON Teacher,Dynamic Teacher (k=10),Full Evaluation,Instruction Following Score (IFS),300,None,42.0,42.0,42.0,+28.00,"SE: 2.85, 95% CI: [36.4, 47.6]",1.2e-14,1115.4,VALIDATED (Dynamic Teacher ON)
ReasonIF Official Benchmark,Qwen3-14B SFT Original LoRA,LoRA (All-Linear),Full Evaluation,Instruction Following Score (IFS),300,None,33.33,33.33,33.33,+19.33,"SE: 2.72, 95% CI: [28.0, 38.7]",1.5e-08,1284.5,VALIDATED (All-Linear LoRA)
ReasonIF Official Benchmark,GPT-OSS-20B Base,None (Baseline),Full Evaluation,Instruction Following Score (IFS),300,None,16.33,16.33,16.33,Ref,"SE: 2.13, 95% CI: [12.1, 20.5]",Ref,842.1,VALIDATED (Stored Verification)
ReasonIF Official Benchmark,GPT-OSS-20B LoRA,LoRA (Attn Only),Full Evaluation,Instruction Following Score (IFS),300,None,22.0,22.0,22.0,+5.67,"SE: 2.39, 95% CI: [17.3, 26.7]",0.076,912.4,VALIDATED (Stored Verification)
